DATE,LINK
18/02/19,https://timesofindia.indiatimes.com/city/bengaluru/justice-should-be-delivered-on-priority-in-human-trafficking-cases-judges/articleshow/68039629.cms
14/02/19,https://timesofindia.indiatimes.com/city/hyderabad/three-more-cases-of-city-women-trafficked-to-gulf-family-approach-swaraj-for-help/articleshow/67988542.cms
14/02/19,https://timesofindia.indiatimes.com/city/mumbai/mumbai-duo-helps-boy-immigrate-on-fake-passport-held/articleshow/67984713.cms
13/02/19,https://timesofindia.indiatimes.com/india/families-of-two-hyderabad-women-trafficked-to-kuwait-and-oman-urge-external-affairs-minister-sushma-swaraj-to-rescue-them/articleshow/67979511.cms
11/02/19,https://timesofindia.indiatimes.com/city/bengaluru/nine-bonded-labourers-rescued-in-bengaluru/articleshow/67931979.cms
09/02/19,https://timesofindia.indiatimes.com/city/ahmedabad/girls-were-sedated-confined-in-naroda-flat-say-cops/articleshow/67907602.cms
09/02/19,https://timesofindia.indiatimes.com/city/hyderabad/local-conned-now-works-as-maid-in-kuwait/articleshow/67907694.cms
07/02/19,https://timesofindia.indiatimes.com/city/ajmer/8-kids-rescued-in-ajmer-two-held/articleshow/67875869.cms
07/02/19,https://timesofindia.indiatimes.com/city/ahmedabad/human-trafficking-case-two-auto-drivers-caught/articleshow/67875607.cms
05/02/19,https://timesofindia.indiatimes.com/city/ahmedabad/girls-were-raped-before-being-sold-say-cops/articleshow/67842008.cms
04/02/19,https://timesofindia.indiatimes.com/city/ahmedabad/cops-suspect-mayas-role-in-abduction-of-50-girls/articleshow/67823329.cms
03/02/19,https://timesofindia.indiatimes.com/city/ahmedabad/ahmedabad-police-arrest-woman-involved-in-major-human-trafficking-racket/articleshow/67815761.cms
02/02/19,https://timesofindia.indiatimes.com/city/bareilly/human-trafficking-minor-bangladeshi-girl-rescued/articleshow/67800119.cms
29/01/19,https://timesofindia.indiatimes.com/city/hyderabad/human-traffickers-go-scot-free-in-telangana/articleshow/67733454.cms
28/01/19,https://timesofindia.indiatimes.com/city/hyderabad/human-trafficking-14-from-telangana-to-return-from-iraqi-kurdistan/articleshow/67721393.cms
21/01/19,https://timesofindia.indiatimes.com/city/delhi/delhi-cop-jumps-into-yamuna-to-nab-fleeing-trafficker/articleshow/67616813.cms
09/01/19,https://timesofindia.indiatimes.com/city/bhubaneswar/odisha-police-conduct-study-to-tackle-human-trafficking-in-odisha/articleshow/67458288.cms
07/12/18,https://timesofindia.indiatimes.com/city/bareilly/bareilly-man-held-for-human-trafficking-of-14-yr-old-girl-from-kolkata/articleshow/66991725.cms
23/11/19,https://timesofindia.indiatimes.com/city/vadodara/this-hospital-is-hotbed-of-child-trafficking/articleshow/66757365.cms
12/03/19,https://www.nytimes.com/2019/03/12/nyregion/nxivm-nancy-salzman-keith-raniere-charges.html?rref=collection%2Ftimestopic%2FHuman%20Trafficking
12/03/19,https://www.ndtv.com/tamil-nadu-news/bonded-labour-trafficking-4-months-after-cyclone-gaja-devastation-2006098
07/02/19,https://www.ndtv.com/world-news/indonesia-finds-193-bangladeshis-locked-up-in-a-shop-1989939
03/02/19,https://www.ndtv.com/india-news/manipur-police-rescue-130-in-ongoing-anti-human-trafficking-operation-1987440
14/01/19,https://www.ndtv.com/kerala-news/kochi-abandoned-bags-prompt-probe-in-suspected-human-trafficking-to-australia-1977692
08/01/19,https://www.ndtv.com/world-news/almost-a-third-of-human-trafficking-victims-are-children-un-report-1974354
18/10/18,https://www.ndtv.com/world-news/in-a-first-babies-sold-on-instagram-in-indonesia-activists-call-for-cyber-patrols-1933923
05/01/19,https://www.ndtv.com/india-news/survivors-write-to-pm-narendra-modi-hope-india-will-pass-law-to-end-human-trafficking-1973061
19/10/18,https://www.ndtv.com/indians-abroad/indian-american-woman-minal-patel-davis-awarded-at-white-house-for-combatting-human-trafficking-1934338
08/01/19,https://www.ndtv.com/world-news/almost-a-third-of-human-trafficking-victims-are-children-un-report-1974354
03/10/18,https://www.ndtv.com/delhi-news/27-trafficked-victims-including-16-minor-girls-rescued-in-delhi-1926375
24/09/18,https://www.ndtv.com/delhi-news/woman-arrested-in-delhi-for-alleged-involvement-in-human-trafficking-1921023
11/09/19,https://www.ndtv.com/hyderabad-news/ex-congress-lawmaker-arrested-for-allegedly-trafficking-3-people-to-us-on-fake-documents-1914810
04/09/18,https://www.ndtv.com/telangana-news/hyderabad-woman-stranded-in-oman-relatives-turn-to-sushma-swaraj-1910958
